001, Red Moon, Youtube與檔案長度差異:	-00:00:00.1896875
022, 鋼の錬金術師『ブラーチャ』中世アコースティックアレンジ /Fullmetal Alchemist『БРАТЬЯ (Brothers)』, Youtube與檔案長度差異:	-00:00:00.6000000
023, Fragile　/  feat. VOCALOIDs (Piano Ver), Youtube與檔案長度差異:	-00:00:00.2400000
024, 大家免著驚, Youtube與檔案長度差異:	-00:00:00.4880000
025, [avex官方]伍佰 & China Blue 淚橋(MV完整版), Youtube與檔案長度差異:	-00:00:00.2513750
026, 伍佰 Wu Bai&China Blue【楓葉 Maple】Official Music Video, Youtube與檔案長度差異:	00:00:00.0720000
027, 这春天里 В этой весне (china super song), Youtube與檔案長度差異:	-00:00:00.4535000
028, everytime you kissed me, Youtube與檔案長度差異:	-00:00:00.3279999
029, 【Blue Archive】君をなぞるだけの夜 - AI空崎ヒナ, Youtube與檔案長度差異:	-00:00:00.5360000
030, 愛にできることはまだあるかい / RADWIMPS  full covered by 春茶, Youtube與檔案長度差異:	-00:00:00.1360000
031, Fridericus Rex Grenadiermarsch, Youtube與檔案長度差異:	-00:00:00.6538750
032, 音樂創世紀-Round3 冠軍晉級賽 1 創作故事及演唱-文藝復興/飛蛾撲火, Youtube與檔案長度差異:	00:00:40.1233750
033, MC HotDog 熱狗【阿姨 Sugar Mommy】Official Music Video, Youtube與檔案長度差異:	-00:00:00.6320000
034, NEFFEX - My Way 😤 (Official Music Video) [Copyright Free] No.158, Youtube與檔案長度差異:	00:00:00.2400000
035, TANIN JAZZ - ВИРТУАЛЬНАЯ ЛЮБОВЬ - Я знаю твой телефон, но никогда не позвоню (Official Video), Youtube與檔案長度差異:	-00:00:00.6639999
036, Служить Саяка, Youtube與檔案長度差異:	-00:00:00.3520000
037, Я ЭТО ТЫ | Мурат Насыров | Cover by Yuppies Band, Youtube與檔案長度差異:	-00:00:00.6320000
038, 【Synth V Español】 Sis Puella Magica! - Madoka Magica Cover 【Mai】, Youtube與檔案長度差異:	-00:00:00.2400000
039, ちいさな冒険者 Chiisana Boukensha 【 Konosuba! 1st ED】 Vocal cover by Amelia in Megumin Cosplay, Youtube與檔案長度差異:	-00:00:00.1920000
040, National Anthem of Greece - " Ύμνος εις την Ελευθερίαν" (All 8 Verses), Youtube與檔案長度差異:	-00:00:00.5200000
041, 【モンスト】モンドリ2023 オーケストラ 超絶 歪なる契約者 BGM, Youtube與檔案長度差異:	-00:00:00.4160000
042, Forward, Youtube與檔案長度差異:	-00:00:00.2400000
043, 恒星, Youtube與檔案長度差異:	-00:00:00.5840000
044, めぐる, Youtube與檔案長度差異:	-00:00:00.2480000
045, そらのむこう　高画質　高音質, Youtube與檔案長度差異:	00:00:00.1463750
046, you (ひぐらしのなく頃に), Youtube與檔案長度差異:	-00:00:00.2173125
047, DECO*27 - モザイクロール feat. GUMI, Youtube與檔案長度差異:	-00:00:00.2320000
048, Steps, Youtube與檔案長度差異:	-00:00:00.7200000
049, SABATON - The Last Stand (Official Lyric Video), Youtube與檔案長度差異:	-00:00:00.2560000
050, SABATON - Winged Hussars (Official Lyric Video), Youtube與檔案長度差異:	-00:00:00.2400000
051, Kalafina - Mirai 未来, Youtube與檔案長度差異:	-00:00:00.5920000
052, Duca - アイの庭 [English Subtitled], Youtube與檔案長度差異:	-00:00:00.3200000
053, 生命之歌, Youtube與檔案長度差異:	-00:00:00.5096250
054, Duca - アマオト [English Subtitled], Youtube與檔案長度差異:	-00:00:00.3279999
055, And I'm Home -Original Master Version, Youtube與檔案長度差異:	-00:00:00.1200000
056, 歪歌 | 交通部長王先生 | 北宜公路【JK 小惡魔】長崎蝴蝶姑娘, Youtube與檔案長度差異:	-00:00:00.6720000
057, evening, Youtube與檔案長度差異:	00:00:00.1440000
058, La Espero - Animacia Kantoteksto, Youtube與檔案長度差異:	-00:00:00.2002500
059, Mai-HiME: It's Only the Fairy-Tale (lyrics), Youtube與檔案長度差異:	-00:00:00.4000000
060, 【MV】いいんだよ／莉犬【コレサワ】, Youtube與檔案長度差異:	-00:00:00.5600000
061, ヨルシカ - 晴る（OFFICIAL VIDEO）, Youtube與檔案長度差異:	00:00:00.1600001
062, Ai Hoshino sings Katyusha/Катюша (AI Cover), Youtube與檔案長度差異:	00:00:00.1360000
063, Credens Justitiam, Youtube與檔案長度差異:	00:00:00.1680000
064, Die gedanken sind frei, Youtube與檔案長度差異:	-00:00:00.0720000
065, 美秀集團 Amazing Show－捲菸 Roll-Cigg【Official Music Video】, Youtube與檔案長度差異:	-00:00:00.0320000
066, fade - keeno ft. GUMI, Youtube與檔案長度差異:	-00:00:00.4076250
067, ssshhhiiittt! - дворы, Youtube與檔案長度差異:	-00:00:00.2880000
068, Metrik - Dawnbreaker, Youtube與檔案長度差異:	-00:00:00.3867500
069, 砂塵の彼方へ…, Youtube與檔案長度差異:	-00:00:00.4480000
070, Поколение, Youtube與檔案長度差異:	-00:00:00.4043125
071, Социально болен, Youtube與檔案長度差異:	-00:00:00.2800000
072, Агрессивный, Youtube與檔案長度差異:	-00:00:00.6560000
073, [Eng CC] Song of the Onion / Chanson de l'Oignon (French Military Song), Youtube與檔案長度差異:	-00:00:00.0080000
074, Decretum, Youtube與檔案長度差異:	-00:00:00.0619375
075, 【Ceui】今、歩き出す君へ。, Youtube與檔案長度差異:	-00:00:00.1760000
076, [avex官方]伍佰 & China Blue 突然的自我(MV完整版), Youtube與檔案長度差異:	00:00:00.3040000
077, 轟絶　四週目　分断者　フラパオーケストラ, Youtube與檔案長度差異:	-00:00:00.4208125
078, Destiny -太陽の花-, Youtube與檔案長度差異:	-00:00:00.2720000
079, 伍佰 Wu Bai&China Blue【挪威的森林 Norwegian forest】Official Music Video, Youtube與檔案長度差異:	00:00:00.2800000
080, 【里奈Rina】活动x崩坏小丑, Youtube與檔案長度差異:	-00:00:00.2720000
081, Ava Max - Kings & Queens [Official Music Video], Youtube與檔案長度差異:	-00:00:00.6240000
082, Ievan polkka, Youtube與檔案長度差異:	-00:00:00.3760000
083, 【中文翻譯】Ieaven Polkka - 伊娃的波爾卡 (甩蔥歌原版), Youtube與檔案長度差異:	-00:00:00.3280000
084, ツユ - あの世行きのバスに乗ってさらば。 MV, Youtube與檔案長度差異:	00:00:00.0160000
085, Nikola Tesla vs Thomas Edison. Epic Rap Battles of History, Youtube與檔案長度差異:	-00:00:00.2400000
086, Croatian Rhapsody-Wen Bin fingerstyle guitar, Youtube與檔案長度差異:	-00:00:00.1920000
087, 【歌詞付き】超絶 ～約定の人造臣機～ BGM【モンスト】, Youtube與檔案長度差異:	-00:00:00.1520000
088, 【東方萃夢想】05～ 魔女たちの舞踏会 ～【原曲】, Youtube與檔案長度差異:	-00:00:00.1465000
089, Westlife - If I Let You Go (Official Video), Youtube與檔案長度差異:	00:00:00.1200000
090, 学科嫌い (討厭學科), Youtube與檔案長度差異:	-00:00:00.1192500
091, George Washington vs William Wallace. Epic Rap Battles of History, Youtube與檔案長度差異:	-00:00:00.2320000
092, Connect, Youtube與檔案長度差異:	00:00:00.0320000
093, [Official Video] Sasaki Sayaka - Zzz -　佐咲紗花, Youtube與檔案長度差異:	-00:00:00.5280000
094, Donald Trump vs Ebenezer Scrooge. Epic Rap Battles of History, Youtube與檔案長度差異:	-00:00:00.5600000
095, 【鏡音リン】深海シティアンダーグラウンド【オリジナルPV】, Youtube與檔案長度差異:	-00:00:00.2480000
096, ヨルシカ - パレード (Music Video), Youtube與檔案長度差異:	00:00:00.2240000
097, Yorushika - Elma (エルマ) (Lyrics/Kan/Rom/Eng), Youtube與檔案長度差異:	00:00:00.0080000
098, sand dream, Youtube與檔案長度差異:	-00:00:00.1360000
099, かたち, Youtube與檔案長度差異:	-00:00:00.0960000
100, 暁の車 ~ReTracks FictionJunction YUUKA 曉之車 ~ReTracks, Youtube與檔案長度差異:	-00:00:00.2799999
101, Sis Puella Magica!, Youtube與檔案長度差異:	-00:00:00.7040000
102, Вечер грустных пар, Youtube與檔案長度差異:	-00:00:00.5440000
103, ANAIT - Пустота (2021), Youtube與檔案長度差異:	-00:00:00.5040000
104, SadSvit - Касета (Cassette 2021), Youtube與檔案長度差異:	-00:00:00.2240000
105, Strike Witches OST - Erica, Youtube與檔案長度差異:	-00:00:00.4543750
106, Искра свободы, Youtube與檔案長度差異:	-00:00:00.1120000
107, 東南苦行山 - Struggling in the Southeast, Youtube與檔案長度差異:	-00:00:00.0080000
108, Sing with Karl - Säkkijärven polkka [Speed German Perkele Version][+ English Translation], Youtube與檔案長度差異:	-00:00:00.6080000
109, Säkkijärven polkkaa - 薩基雅爾維的波爾卡, Youtube與檔案長度差異:	-00:00:00.3200000
110, milet「Anytime Anywhere」MUSIC VIDEO (TVアニメ『葬送のフリーレン』エンディングテーマ), Youtube與檔案長度差異:	-00:00:00.5040000
111, Ручной Рептилоид кавер на Ручной Рептилоид - Я хочу быть 2D, Youtube與檔案長度差異:	-00:00:00.5679375
112, "Θά 'ρθεις σαν αστραπή" - Greek Song About The Fall of Constantinople, Youtube與檔案長度差異:	-00:00:00.5451875
113, Песня артиллеристов - 砲兵之歌, Youtube與檔案長度差異:	-00:00:00.3983124
114, "Hej, sokoły!" - Polish Folk Song, Youtube與檔案長度差異:	-00:00:00.1600000
115, 羅大佑 蔣志光 - 皇后大道東 MV, Youtube與檔案長度差異:	-00:00:00.4480000
116, 跳舞的波蘭牛Dancing Polish Cow歌曲中文翻譯(Traditional Chinese lyrics, Youtube與檔案長度差異:	-00:00:00.3600000
117, 55 Giorni a Pechino - Italian Version of The Song of the 11 Nations, Youtube與檔案長度差異:	00:00:00.1357500
118, Loving Caliber - Fighter, Youtube與檔案長度差異:	00:00:00.1600000
119, Colorful, Youtube與檔案長度差異:	00:00:00.0560000
120, 【Music Video】せかいのおはなし（酢酸かのん, 水野あつ）, Youtube與檔案長度差異:	-00:00:00.5200000
121, dinosaurs, Youtube與檔案長度差異:	00:00:00.2400000
122, [初音ミク]　paranoia　[オリジナル], Youtube與檔案長度差異:	00:00:00.3120000
123, [Official] 炉心融解 feat.鏡音リン  /  Meltdown feat.Kagamine Rin, Youtube與檔案長度差異:	-00:00:00.6000000
124, Mayday五月天【諾亞方舟】MV官方完整版-2012世界巡迴主題曲, Youtube與檔案長度差異:	-00:00:00.4560000
125, ヨルシカ - 風を食む（OFFICIAL VIDEO）, Youtube與檔案長度差異:	-00:00:00.5360000
126, 月光花, Youtube與檔案長度差異:	-00:00:00.0880000
127, 葬歌, Youtube與檔案長度差異:	-00:00:00.5040000
128, À la volonté du peuple, Youtube與檔案長度差異:	-00:00:00.2000000
129, Jeick Abrego - One Step Closer, Youtube與檔案長度差異:	00:02:12
130, НЕБО НАД ГОЛОВОЙ - Я ХОТЕЛ БЫТЬ КОСМОНАВТОМ, Youtube與檔案長度差異:	-00:00:00.0960000
131, シド 『レイン』Music Video, Youtube與檔案長度差異:	00:00:00.2720000
132, Счастливые Люди - Муравейник (Виктор Цой кавер) (Live), Youtube與檔案長度差異:	-00:00:00.1840000
133, moumoon / Sunshine Girl, Youtube與檔案長度差異:	-00:00:00.1280000
134, Lyndon Johnson Told the Nation (Tom Paxton), Youtube與檔案長度差異:	-00:00:00.0136875
135, scene / keeno feat. 初音ミク, Youtube與檔案長度差異:	00:00:00.0480000
136, 18歳の責任　/  feat. GUMI, Youtube與檔案長度差異:	-00:00:00.3279999
137, いきものがかり 『熱情のスペクトラム』Music Video, Youtube與檔案長度差異:	-00:00:00.1120000
138, 今日も空が綺麗だから　/  feat. IA & 結月ゆかり, Youtube與檔案長度差異:	00:00:00.0400000
139, YOASOBI「海のまにまに」Official Music Video, Youtube與檔案長度差異:	-00:00:00.2240000
140, 滅火器 Fire EX. - 長途夜車 Southbound Night Bus Lyric Video, Youtube與檔案長度差異:	-00:00:00.2400000
141, ヨルシカ - 都落ち（OFFICIAL VIDEO）, Youtube與檔案長度差異:	-00:00:00.2160000
142, Hatsune Miku - 6900000000 (English Subbed), Youtube與檔案長度差異:	-00:00:00.2208750
143, 【HatsuneMiku】 うそつき 【つなまる】, Youtube與檔案長度差異:	-00:00:00.2640000
144, 晴天前夜 / HarryP ft.初音ミク (Official Music Video), Youtube與檔案長度差異:	-00:00:00.2880000
145, 长岛-花粥（Cover by 林亦）「视频片尾曲出处」, Youtube與檔案長度差異:	00:00:00.0033750
146, 【ウォルピス社】COSMOSを歌ってみました【提供】, Youtube與檔案長度差異:	-00:00:00.2160000
147, Reach for the Sky　/  feat. GUMI, Youtube與檔案長度差異:	00:00:00.0160000
148, Johnny Boy, Youtube與檔案長度差異:	-00:00:00.5920000
149, だって君には彼氏がいるでしょ　/  feat. ついなちゃん, Youtube與檔案長度差異:	00:00:00.2880000
150, 許冠英丨半斤八兩丨至尊金曲聲雅廊Encore演唱會, Youtube與檔案長度差異:	-00:00:00.5360000
151, EGOIST『Planetes』Music Video（OVA『ギルティクラウン』主題歌）, Youtube與檔案長度差異:	-00:00:00.5920000
152, 【初音ミクAppend】crack【with 中文字幕】, Youtube與檔案長度差異:	-00:00:00.3763750
153, Duca - ISI, Youtube與檔案長度差異:	00:00:00.2240000
154, Ghost of a Smile (from Best AL Alter Ego), Youtube與檔案長度差異:	00:00:00.2560000
155, Nothing Ventured, Nothing Gained (vocal version), Youtube與檔案長度差異:	-00:00:00.3440000
156, 死のうとしたのにな / feat.可不, Youtube與檔案長度差異:	-00:00:00.4560000
157, さよならだけが人生か　/  feat. IA & 結月ゆかり, Youtube與檔案長度差異:	-00:00:00.4080000
158, weep, Youtube與檔案長度差異:	-00:00:00.0640000
159, DECO*27 - 妄想感傷代償連盟 feat. 初音ミク, Youtube與檔案長度差異:	00:00:00.1760000
160, 願い　/  feat. IA, Youtube與檔案長度差異:	-00:00:00.2799999
161, レムの魔法　/  feat. 初音ミク, Youtube與檔案長度差異:	-00:00:00.4960000
162, あれほど欲した幸せを、手放す勇気を僕にくれ　/  feat.初音ミク, Youtube與檔案長度差異:	-00:00:00.4880000
163, [原創] 天市垣~Heavenly Market Enclosure, Youtube與檔案長度差異:	-00:00:00.2400000
164, 歩き出すのだ、傘がなくとも。　/ feat. Fukase, Youtube與檔案長度差異:	00:00:00.2000000
165, FreeTempo - Dreaming, Youtube與檔案長度差異:	00:00:00.2960000
166, АнимациЯ – Ильич (столетию революции посвящается), Youtube與檔案長度差異:	-00:00:00.3120000
167, 【初音ミクDark】　青を焚べて　【 keeno 】, Youtube與檔案長度差異:	-00:00:00.0240000
168, あなたに好きと言われたい, Youtube與檔案長度差異:	-00:00:00.0160000
169, ふたりぼっち同盟　/  feat. 知声, Youtube與檔案長度差異:	-00:00:00.6000000
170, 変わらないもの, Youtube與檔案長度差異:	-00:00:00.4560000
171, 贖罪　/  feat. VOCALOIDs, Youtube與檔案長度差異:	00:00:00.2960000
172, 結い傷な／一二三 feat.音街ウナ, Youtube與檔案長度差異:	-00:00:00.3839999
173, moumoon / Hello,shooting-star Music Video (歌詞あり)/暗殺教室エンディングテーマ, Youtube與檔案長度差異:	00:00:00.0320000
174, 暗殺教室-月光(原文歌詞、中文填詞), Youtube與檔案長度差異:	-00:00:00.2480000
175, 滅人山, Youtube與檔案長度差異:	-00:00:00.1440000
176, Aruku - yorushika (ヨルシカ) [English lyrics], Youtube與檔案長度差異:	-00:00:00.0560000
177, Taiga Aisaka (Toradora!) vs Kirino Kousaka (OreImo)  - Rap☆Battle, Youtube與檔案長度差異:	-00:00:00.5200000
178, Light Yagami vs Monika - Rap Battle! (ANIMATION VS ANYTHING: CH. II), Youtube與檔案長度差異:	-00:00:00.3680000
179, 花が落ちたので、／一二三 feat.初音ミク, Youtube與檔案長度差異:	-00:00:00.5600000
180, [初音ミク]　橙ゲノム　[オリジナル], Youtube與檔案長度差異:	00:00:00.2000000
181, 伍佰 Wu Bai&China Blue【斷腸詩 Broken heart poetry】Official Music Video, Youtube與檔案長度差異:	00:00:00.1520000
182, Yuno Gasai (Future Diary) vs Satou Matsuzaka (Happy Sugar Life) - Rap☆Battle, Youtube與檔案長度差異:	-00:00:00.0720000
183, Nico Yazawa vs """"Natsuki"""" ""2"" - Rap Battle, Youtube與檔案長度差異:	-00:00:00.4240000
184, SAYORI vs SQUIDWARD (Doki Doki vs Spongebob) Mega Hyper Rap Battles #5, Youtube與檔案長度差異:	-00:00:00.4400000
185, Yorushika - 昼鳶 Hirutonbi | Lyrics + Translation!, Youtube與檔案長度差異:	-00:00:00.1279999
186, 【原創歌曲】漂 流【解凍三色豆】[CC字幕], Youtube與檔案長度差異:	-00:00:00.2640000
187, 【原創歌曲】就像吃三色豆【解凍三色豆】[CC字幕], Youtube與檔案長度差異:	00:00:00.3200000
188, ちゃんとあるよ　/  feat. 可不, Youtube與檔案長度差異:	-00:00:00.0640000
189, さよなら、僕のヒーロー　/  feat. 初音ミク, Youtube與檔案長度差異:	00:00:00.2240000
190, 誰かのヒーローになりたかった　/ feat. IA & 結月ゆかり, Youtube與檔案長度差異:	-00:00:00.1040000
191, 人工呼吸　/  feat. 初音ミク, Youtube與檔案長度差異:	-00:00:00.0400000
192, 金莎-愛的魔法MV官方版, Youtube與檔案長度差異:	-00:00:00.3920000
193, 楊千嬅 Miriam Yeung -《烈女》Official MV, Youtube與檔案長度差異:	-00:00:00.1600000
194, 【初音ミクの生きるオリジナル曲】 Life, Youtube與檔案長度差異:	-00:00:00.2799999
195, 【初音ミク】繰り返し一粒【オリジナル】中文字幕, Youtube與檔案長度差異:	00:00:00.2160000
196, 初音ミクオリジナル曲「パズル」, Youtube與檔案長度差異:	-00:00:00.3054375
197, 黃家駒 Beyond - 喜欢你 (with lyrics sing along), Youtube與檔案長度差異:	00:00:00.0160000
198, [一人一首金坷垃] 美美背著金坷垃, Youtube與檔案長度差異:	-00:00:00.0960000
199, だれかの心臓になれたなら /ユリイ・カノン feat.GUMI, Youtube與檔案長度差異:	-00:00:00.4000000
200, kazuki feat. 夢乃ゆき - 昨日みた夢, Youtube與檔案長度差異:	-00:00:00.0560000
201, [一人一首金坷垃] 烈农, Youtube與檔案長度差異:	-00:00:00.2240000
202, bad apple(ピアノ), Youtube與檔案長度差異:	-00:00:00.6000000
203, アストロノーツ (Astronauts) - Synthesia, Youtube與檔案長度差異:	-00:00:00.6448750
204, 猫又小粥 - 海百合海底谭(ウミユリ海底谭)(中文字幕), Youtube與檔案長度差異:	00:00:00.1840000
205, Rizky Ayuba   You Know I'll Go Get, Youtube與檔案長度差異:	-00:00:00.0960000
206, 醒哥45秒詠唱_____Marshmello Alone, Youtube與檔案長度差異:	-00:00:00.0720000
207, [金坷垃] 農日, Youtube與檔案長度差異:	00:00:00.1600001
208, ヨルシカ - ヒッチコック (MUSIC VIDEO), Youtube與檔案長度差異:	00:00:00.1600000
209, [ぽわぽわP] Astronauts FA乐器remix, Youtube與檔案長度差異:	-00:00:00.4880000
210, 伍佰 Wu Bai&China Blue【白鴿 White dove】Official Music Video, Youtube與檔案長度差異:	-00:00:00.2559999
211, MC HotDog 熱狗 feat.張震嶽 A-Yue【離開 Out Of Here】Official Music Video, Youtube與檔案長度差異:	-00:00:00.4000000
212, 植田真梨恵「わかんないのはいやだ」PV, Youtube與檔案長度差異:	-00:00:00.0720000
213, ヨルシカ - 花に亡霊（OFFICIAL VIDEO）, Youtube與檔案長度差異:	-00:00:00.4720000
214, ヨルシカっぽい曲作ってみた『聞いて。』(feat.さんひ）【INUMOKUWANEEYO/Listen!】, Youtube與檔案長度差異:	-00:00:00.3680000
215, ヨルシカ - 言って。(Music Video), Youtube與檔案長度差異:	-00:00:00.5760000
216, 米津玄師  - orion , Kenshi Yonezu, Youtube與檔案長度差異:	-00:00:00.5200000
217, 神魔之塔Tower of Saviors BGM 阿隆老師吉他演奏 (FingerStyle No.22), Youtube與檔案長度差異:	-00:00:00.5675000
218, 米津玄師  - アイネクライネ , Kenshi Yonezu - Eine Kleine, Youtube與檔案長度差異:	-00:00:00.2720000
219, Big Sean - One Man Can Change The World ft. Kanye West, John Legend (Official Music Video), Youtube與檔案長度差異:	-00:00:00.5680000
220, 北大力南逸峰我的故事（完整版）, Youtube與檔案長度差異:	00:00:00.2330000
221, [金坷垃] 揮着翅膀的女(ke)孩(la), Youtube與檔案長度差異:	00:00:00.0800001
222, アストロノーツ / Reol(れをる) Cover, Youtube與檔案長度差異:	-00:00:00.2080000
223, 王司徒vs诸葛亮  《克罗地亚狂想曲》, Youtube與檔案長度差異:	00:00:00.0573750
224, MC HotDog 熱狗【差不多先生】Official Music Video, Youtube與檔案長度差異:	-00:00:00.5840000
225, 慎入！如何讓孩子愛上學習?英文rap（鬼畜）, Youtube與檔案長度差異:	-00:00:00.0430000
226, [MV] REOL - drop pop candy, Youtube與檔案長度差異:	-00:00:00.3280000
227, 奥華子　楔(歌詞付き）, Youtube與檔案長度差異:	00:00:00.0466875
228, [MV] REOL - No title, Youtube與檔案長度差異:	-00:00:00.6000000
229, 【GUMI】弱虫モンブラン【オリジナル曲PV付】中文字幕, Youtube與檔案長度差異:	00:00:00.0193125
