001 Youtube與檔案長度差異:	-00:00:00.3346875
078 Youtube與檔案長度差異:	-00:00:00.1840000
079 Youtube與檔案長度差異:	-00:00:00.1360000
080 Youtube與檔案長度差異:	00:00:00.2080000
081 Youtube與檔案長度差異:	-00:00:00.0480000
082 Youtube與檔案長度差異:	00:00:00
083 Youtube與檔案長度差異:	00:00:00.0160000
084 Youtube與檔案長度差異:	00:00:00.0359375
085 Youtube與檔案長度差異:	00:00:00.3120000
086 Youtube與檔案長度差異:	00:00:00.0892500
087 Youtube與檔案長度差異:	-00:00:00.0400000
088 Youtube與檔案長度差異:	00:00:00.2240000
089 Youtube與檔案長度差異:	-00:00:00.3360000
090 Youtube與檔案長度差異:	-00:00:00.3680000
091 Youtube與檔案長度差異:	-00:00:00.0800000
092 Youtube與檔案長度差異:	00:00:00.4160000
093 Youtube與檔案長度差異:	00:00:00.2000000
094 Youtube與檔案長度差異:	00:00:00.0560000
095 Youtube與檔案長度差異:	00:00:00.0960000
096 Youtube與檔案長度差異:	-00:00:00.0880000
097 Youtube與檔案長度差異:	-00:00:00.5120000
098 Youtube與檔案長度差異:	-00:00:00.3520000
099 Youtube與檔案長度差異:	-00:00:00.3120000
100 Youtube與檔案長度差異:	-00:00:00.0320000
101 Youtube與檔案長度差異:	-00:00:00.2458750
102 Youtube與檔案長度差異:	00:00:00.0800001
103 Youtube與檔案長度差異:	00:00:00.1840000
104 Youtube與檔案長度差異:	-00:00:00.4160000
105 Youtube與檔案長度差異:	-00:00:00.1279999
106 Youtube與檔案長度差異:	-00:00:00.3120000
107 Youtube與檔案長度差異:	-00:00:00.3594375
108 Youtube與檔案長度差異:	-00:00:00.3366875
109 Youtube與檔案長度差異:	-00:00:00.1898125
110 Youtube與檔案長度差異:	00:00:00.0320000
111 Youtube與檔案長度差異:	-00:00:00.2800000
112 Youtube與檔案長度差異:	-00:00:00.1680000
113 Youtube與檔案長度差異:	00:00:00.3442500
114 Youtube與檔案長度差異:	00:00:00.3520000
115 Youtube與檔案長度差異:	00:00:00.2480000
116 Youtube與檔案長度差異:	-00:00:00.3280000
117 Youtube與檔案長度差異:	00:00:00.4320000
118 Youtube與檔案長度差異:	00:00:00.5040000
119 Youtube與檔案長度差異:	-00:00:00.4320000
120 Youtube與檔案長度差異:	-00:00:00.2880000
121 Youtube與檔案長度差異:	-00:00:00.3680000
122 Youtube與檔案長度差異:	00:00:00.1040000
123 Youtube與檔案長度差異:	-00:00:00.3360000
124 Youtube與檔案長度差異:	-00:00:00.0080000
000 Youtube與檔案長度差異:	00:02:12
126 Youtube與檔案長度差異:	00:00:00.0960000
127 Youtube與檔案長度差異:	00:00:00.4640000
128 Youtube與檔案長度差異:	00:00:00.0080000
129 Youtube與檔案長度差異:	00:00:00.0640000
130 Youtube與檔案長度差異:	00:00:00.1948125
131 Youtube與檔案長度差異:	00:00:00.2400000
132 Youtube與檔案長度差異:	-00:00:00.1360000
133 Youtube與檔案長度差異:	00:00:00.0560000
134 Youtube與檔案長度差異:	00:00:00.2320000
135 Youtube與檔案長度差異:	-00:00:00.0320000
136 Youtube與檔案長度差異:	-00:00:00.0720000
137 Youtube與檔案長度差異:	-00:00:00.0480000
138 Youtube與檔案長度差異:	-00:00:00.0123750
139 Youtube與檔案長度差異:	-00:00:00.0720000
140 Youtube與檔案長度差異:	-00:00:00.0960000
141 Youtube與檔案長度差異:	00:00:00.1858125
142 Youtube與檔案長度差異:	-00:00:00.0240000
143 Youtube與檔案長度差異:	00:00:00.2080000
144 Youtube與檔案長度差異:	-00:00:00.4000000
145 Youtube與檔案長度差異:	00:00:00.4800000
146 Youtube與檔案長度差異:	-00:00:00.3440000
147 Youtube與檔案長度差異:	-00:00:00.4000000
148 Youtube與檔案長度差異:	-00:00:00.1678750
149 Youtube與檔案長度差異:	00:00:00.4160000
150 Youtube與檔案長度差異:	00:00:00.4480000
151 Youtube與檔案長度差異:	-00:00:00.1519999
152 Youtube與檔案長度差異:	-00:00:00.2640000
153 Youtube與檔案長度差異:	-00:00:00.2160000
154 Youtube與檔案長度差異:	00:00:00.1280000
155 Youtube與檔案長度差異:	00:00:00.3680000
156 Youtube與檔案長度差異:	-00:00:00.1120000
157 Youtube與檔案長度差異:	-00:00:00.3039999
158 Youtube與檔案長度差異:	-00:00:00.2960000
159 Youtube與檔案長度差異:	-00:00:00.0480000
160 Youtube與檔案長度差異:	00:00:00.3920000
161 Youtube與檔案長度差異:	00:00:00.4880000
162 Youtube與檔案長度差異:	-00:00:00.1200000
163 Youtube與檔案長度差異:	00:00:00.1440000
164 Youtube與檔案長度差異:	00:00:00.1760000
165 Youtube與檔案長度差異:	-00:00:00.4079999
166 Youtube與檔案長度差異:	-00:00:00.2640000
167 Youtube與檔案長度差異:	00:00:00.4640000
168 Youtube與檔案長度差異:	-00:00:00.2160000
169 Youtube與檔案長度差異:	-00:00:00.3883750
170 Youtube與檔案長度差異:	00:00:00.2240000
171 Youtube與檔案長度差異:	-00:00:00.0560000
172 Youtube與檔案長度差異:	00:00:00.0240000
173 Youtube與檔案長度差異:	00:00:00.1360000
174 Youtube與檔案長度差異:	-00:00:00.3279999
175 Youtube與檔案長度差異:	-00:00:00.1760000
176 Youtube與檔案長度差異:	-00:00:00.3920000
177 Youtube與檔案長度差異:	00:00:00.3920000
178 Youtube與檔案長度差異:	00:00:00.3440000
179 Youtube與檔案長度差異:	00:00:00.1200000
180 Youtube與檔案長度差異:	-00:00:00.2320000
181 Youtube與檔案長度差異:	-00:00:00.2480000
182 Youtube與檔案長度差異:	00:00:00.0640000
183 Youtube與檔案長度差異:	-00:00:00.0960000
184 Youtube與檔案長度差異:	00:00:00.5120000
185 Youtube與檔案長度差異:	00:00:00.1280000
186 Youtube與檔案長度差異:	00:00:00.4160000
187 Youtube與檔案長度差異:	00:00:00.0640000
188 Youtube與檔案長度差異:	00:00:00.1520000
189 Youtube與檔案長度差異:	-00:00:00.2000000
190 Youtube與檔案長度差異:	00:00:00.0080000
191 Youtube與檔案長度差異:	-00:00:00.1120000
192 Youtube與檔案長度差異:	00:00:00.3840000
193 Youtube與檔案長度差異:	-00:00:00.0969375
194 Youtube與檔案長度差異:	00:00:00.2080001
195 Youtube與檔案長度差異:	00:00:00.0720000
196 Youtube與檔案長度差異:	-00:00:00.2080000
197 Youtube與檔案長度差異:	00:00:00.1360000
198 Youtube與檔案長度差異:	-00:00:00.0560000
199 Youtube與檔案長度差異:	-00:00:00.4080000
200 Youtube與檔案長度差異:	-00:00:00.4363750
201 Youtube與檔案長度差異:	00:00:00.3760000
202 Youtube與檔案長度差異:	00:00:00.0960000
203 Youtube與檔案長度差異:	00:00:00.1200000
204 Youtube與檔案長度差異:	00:00:00.3280000
205 Youtube與檔案長度差異:	00:00:00.3520000
206 Youtube與檔案長度差異:	-00:00:00.2960000
207 Youtube與檔案長度差異:	-00:00:00.0880000
208 Youtube與檔案長度差異:	-00:00:00.2320000
209 Youtube與檔案長度差異:	00:00:00.1200000
210 Youtube與檔案長度差異:	-00:00:00.3040000
211 Youtube與檔案長度差異:	-00:00:00.2000000
212 Youtube與檔案長度差異:	-00:00:00.4080000
213 Youtube與檔案長度差異:	-00:00:00.3279999
214 Youtube與檔案長度差異:	-00:00:00.3850625
215 Youtube與檔案長度差異:	-00:00:00.0800000
216 Youtube與檔案長度差異:	-00:00:00.3760000
217 Youtube與檔案長度差異:	00:00:00.4415000
218 Youtube與檔案長度差異:	00:00:00.2720000
219 Youtube與檔案長度差異:	-00:00:00.0160000
220 Youtube與檔案長度差異:	00:00:00.2398125
221 Youtube與檔案長度差異:	-00:00:00.3920000
222 Youtube與檔案長度差異:	00:00:00.1655000
223 Youtube與檔案長度差異:	-00:00:00.1360000
224 Youtube與檔案長度差異:	00:00:00.2551875
225 Youtube與檔案長度差異:	-00:00:00.4080000
226 Youtube與檔案長度差異:	00:00:00.2278125
